Country,Time,Value
Portugal,2009-03,10.6
Portugal,2009-04,10.8
Portugal,2009-05,11.0
Portugal,2009-06,11.3
Portugal,2009-07,11.5
Portugal,2009-08,11.8
Portugal,2009-09,11.9
Portugal,2009-10,11.9
Portugal,2009-11,11.8
Portugal,2009-12,11.9
Portugal,2010-01,11.8
Portugal,2010-02,12.1
Portugal,2010-03,12.2
Portugal,2010-04,12.5
Portugal,2010-05,12.7
Portugal,2010-06,12.9
Portugal,2010-07,12.9
Portugal,2010-08,12.9
Portugal,2010-09,12.8
Portugal,2010-10,12.6
Portugal,2010-11,12.8
Portugal,2010-12,12.8
Portugal,2011-01,12.8
Portugal,2011-02,12.8
Portugal,2011-03,13.1
Portugal,2011-04,13.0
Portugal,2011-05,13.1
Portugal,2011-06,13.0
Portugal,2011-07,13.1
Portugal,2011-08,13.5
Portugal,2011-09,13.9
Portugal,2011-10,14.2
Portugal,2011-11,14.6
Portugal,2011-12,15.1
Portugal,2012-01,15.0
Portugal,2012-02,15.4
Portugal,2012-03,15.8
Portugal,2012-04,16.2
Portugal,2012-05,16.2
Portugal,2012-06,16.3
Portugal,2012-07,16.5
Portugal,2012-08,17.1
Portugal,2012-09,17.1
Portugal,2012-10,17.6
Portugal,2012-11,17.8
Portugal,2012-12,18.1
Portugal,2013-01,18.2
Portugal,2013-02,18.1
Portugal,2013-03,18.0
Portugal,2013-04,17.8
Portugal,2013-05,17.8
Portugal,2013-06,17.5
Portugal,2013-07,17.5
Portugal,2013-08,16.8
Portugal,2013-09,16.4
Portugal,2013-10,16.3
Portugal,2013-11,16.0
Portugal,2013-12,15.7
Portugal,2014-01,15.4
Portugal,2014-02,15.4
Portugal,2014-03,15.3
Portugal,2014-04,15.1
Portugal,2014-05,15.0
Portugal,2014-06,14.9
Portugal,2014-07,14.7
Portugal,2014-08,14.1
Portugal,2014-09,13.9
Portugal,2014-10,14.0
Portugal,2014-11,13.9
Portugal,2014-12,14.0
Portugal,2015-01,14.1
Portugal,2015-02,13.9
Portugal,2015-03,13.5
Portugal,2015-04,13.2
Portugal,2015-05,12.8
Portugal,2015-06,12.7
Portugal,2015-07,12.7
Portugal,2015-08,12.7
Portugal,2015-09,12.8
Portugal,2015-10,12.8
Portugal,2015-11,12.6
Portugal,2015-12,12.5
Portugal,2016-01,12.3
Portugal,2016-02,12.4
Portugal,2016-03,12.2
Portugal,2016-04,11.9
Portugal,2016-05,11.6
Portugal,2016-06,11.4
Portugal,2016-07,11.3
Portugal,2016-08,11.3
Portugal,2016-09,11.2
Portugal,2016-10,10.9
Portugal,2016-11,10.7
Portugal,2016-12,10.4
Portugal,2017-01,10.3
Portugal,2017-02,10.1
Portugal,2017-03,10.0
Portugal,2017-04,9.7
Portugal,2017-05,9.5
Portugal,2017-06,9.4
Portugal,2017-07,9.2
Portugal,2017-08,9.0
Portugal,2017-09,8.7
Portugal,2017-10,8.6
Portugal,2017-11,8.2
Portugal,2017-12,8.1
Portugal,2018-01,8.0
Portugal,2018-02,7.8
Portugal,2018-03,7.6
Portugal,2018-04,7.3
Portugal,2018-05,7.2
Portugal,2018-06,7.0
Portugal,2018-07,7.0
Portugal,2018-08,7.1
Portugal,2018-09,6.7
Portugal,2018-10,6.7
Portugal,2018-11,6.8
Portugal,2018-12,6.8
Portugal,2019-01,6.7
Portugal,2019-02,6.6
Portugal,2019-03,6.6
Portugal,2019-04,6.7
Portugal,2019-05,6.7
Portugal,2019-06,6.7
Portugal,2019-07,6.6
Portugal,2019-08,6.5
Portugal,2019-09,6.6
Portugal,2019-10,6.6
Portugal,2019-11,6.8
Portugal,2019-12,6.9
Spain,2000-01,12.8
Spain,2000-02,12.4
Spain,2000-03,12.2
Spain,2000-04,12.0
Spain,2000-05,11.9
Spain,2000-06,11.9
Spain,2000-07,11.9
Spain,2000-08,11.8
Spain,2000-09,11.7
Spain,2000-10,11.7
Spain,2000-11,11.5
Spain,2000-12,11.2
Spain,2001-01,10.8
Spain,2001-02,10.7
Spain,2001-03,10.5
Spain,2001-04,10.4
Spain,2001-05,10.6
Spain,2001-06,10.5
Spain,2001-07,10.5
Spain,2001-08,10.6
Spain,2001-09,10.5
Spain,2001-10,10.5
Spain,2001-11,10.6
Spain,2001-12,10.7
Spain,2002-01,11.1
Spain,2002-02,11.5
Spain,2002-03,11.2
Spain,2002-04,11.2
Spain,2002-05,11.2
Spain,2002-06,11.4
Spain,2002-07,11.7
Spain,2002-08,11.8
Spain,2002-09,11.7
Spain,2002-10,11.6
Spain,2002-11,11.6
Spain,2002-12,11.6
Spain,2003-01,11.7
Spain,2003-02,11.7
Spain,2003-03,11.6
Spain,2003-04,11.4
Spain,2003-05,11.3
Spain,2003-06,11.5
Spain,2003-07,11.6
Spain,2003-08,11.5
Spain,2003-09,11.5
Spain,2003-10,11.4
Spain,2003-11,11.3
Spain,2003-12,11.4
Spain,2004-01,11.3
Spain,2004-02,11.2
Spain,2004-03,11.1
Spain,2004-04,11.2
Spain,2004-05,11.2
Spain,2004-06,11.2
Spain,2004-07,11.0
Spain,2004-08,11.0
Spain,2004-09,10.9
Spain,2004-10,10.7
Spain,2004-11,10.6
Spain,2004-12,10.3
Spain,2005-01,10.1
Spain,2005-02,9.9
Spain,2005-03,9.7
Spain,2005-04,9.7
Spain,2005-05,9.4
Spain,2005-06,9.1
Spain,2005-07,8.8
Spain,2005-08,8.6
Spain,2005-09,8.5
Spain,2005-10,8.6
Spain,2005-11,8.7
Spain,2005-12,8.8
Spain,2006-01,8.8
Spain,2006-02,8.7
Spain,2006-03,8.7
Spain,2006-04,8.6
Spain,2006-05,8.5
Spain,2006-06,8.4
Spain,2006-07,8.3
Spain,2006-08,8.3
Spain,2006-09,8.2
Spain,2006-10,8.2
Spain,2006-11,8.3
Spain,2006-12,8.3
Spain,2007-01,8.3
Spain,2007-02,8.2
Spain,2007-03,8.1
Spain,2007-04,8.0
Spain,2007-05,7.9
Spain,2007-06,8.0
Spain,2007-07,8.1
Spain,2007-08,8.3
Spain,2007-09,8.3
Spain,2007-10,8.4
Spain,2007-11,8.6
Spain,2007-12,8.8
Spain,2008-01,9.1
Spain,2008-02,9.3
Spain,2008-03,9.5
Spain,2008-04,10.0
Spain,2008-05,10.4
Spain,2008-06,10.8
Spain,2008-07,11.1
Spain,2008-08,11.5
Spain,2008-09,12.0
Spain,2008-10,12.9
Spain,2008-11,13.8
Spain,2008-12,14.8
Spain,2009-01,15.9
Spain,2009-02,16.8
Spain,2009-03,17.5
Spain,2009-04,17.8
Spain,2009-05,17.9
Spain,2009-06,17.9
Spain,2009-07,18.0
Spain,2009-08,18.2
Spain,2009-09,18.4
Spain,2009-10,18.6
Spain,2009-11,18.7
Spain,2009-12,18.9
Spain,2010-01,19.1
Spain,2010-02,19.2
Spain,2010-03,19.4
Spain,2010-04,19.8
Spain,2010-05,20.0
Spain,2010-06,20.1
Spain,2010-07,19.9
Spain,2010-08,20.0
Spain,2010-09,20.1
Spain,2010-10,20.1
Spain,2010-11,20.2
Spain,2010-12,20.4
Spain,2011-01,20.4
Spain,2011-02,20.5
Spain,2011-03,20.6
Spain,2011-04,20.6
Spain,2011-05,20.7
Spain,2011-06,21.0
Spain,2011-07,21.4
Spain,2011-08,21.7
Spain,2011-09,22.1
Spain,2011-10,22.4
Spain,2011-11,22.6
Spain,2011-12,22.9
Spain,2012-01,23.3
Spain,2012-02,23.6
Spain,2012-03,23.9
Spain,2012-04,24.2
Spain,2012-05,24.6
Spain,2012-06,24.8
Spain,2012-07,25.0
Spain,2012-08,25.2
Spain,2012-09,25.4
Spain,2012-10,25.7
Spain,2012-11,25.9
Spain,2012-12,26.0
Spain,2013-01,26.2
Spain,2013-02,26.4
Spain,2013-03,26.4
Spain,2013-04,26.3
Spain,2013-05,26.2
Spain,2013-06,26.1
Spain,2013-07,26.1
Spain,2013-08,26.1
Spain,2013-09,26.0
Spain,2013-10,26.0
Spain,2013-11,25.9
Spain,2013-12,25.6
Spain,2014-01,25.5
Spain,2014-02,25.3
Spain,2014-03,25.1
Spain,2014-04,24.8
Spain,2014-05,24.6
Spain,2014-06,24.4
Spain,2014-07,24.3
Spain,2014-08,24.1
Spain,2014-09,24.0
Spain,2014-10,23.9
Spain,2014-11,23.8
Spain,2014-12,23.7
Spain,2015-01,23.4
Spain,2015-02,23.2
Spain,2015-03,22.9
Spain,2015-04,22.7
Spain,2015-05,22.5
Spain,2015-06,22.2
Spain,2015-07,21.9
Spain,2015-08,21.6
Spain,2015-09,21.4
Spain,2015-10,21.2
Spain,2015-11,20.9
Spain,2015-12,20.8
Spain,2016-01,20.6
Spain,2016-02,20.4
Spain,2016-03,20.3
Spain,2016-04,20.3
Spain,2016-05,20.1
Spain,2016-06,19.9
Spain,2016-07,19.5
Spain,2016-08,19.3
Spain,2016-09,19.1
Spain,2016-10,18.8
Spain,2016-11,18.8
Spain,2016-12,18.5
Spain,2017-01,18.4
Spain,2017-02,18.2
Spain,2017-03,18.0
Spain,2017-04,17.6
Spain,2017-05,17.4
Spain,2017-06,17.1
Spain,2017-07,16.8
Spain,2017-08,16.7
Spain,2017-09,16.7
Spain,2017-10,16.7
Spain,2017-11,16.6
Spain,2017-12,16.6
Spain,2018-01,16.4
Spain,2018-02,16.2
Spain,2018-03,16.0
Spain,2018-04,15.7
Spain,2018-05,15.5
Spain,2018-06,15.2
Spain,2018-07,15.0
Spain,2018-08,14.8
Spain,2018-09,14.7
Spain,2018-10,14.6
Spain,2018-11,14.5
Spain,2018-12,14.4
Spain,2019-01,14.3
Spain,2019-02,14.2
Spain,2019-03,14.2
Spain,2019-04,14.2
Spain,2019-05,14.3
Spain,2019-06,14.2
Spain,2019-07,14.2
Spain,2019-08,14.1
Spain,2019-09,14.0
Spain,2019-10,13.9
Spain,2019-11,13.9
Spain,2019-12,13.8
